date_time,actual_traffic,random_forest_prediction,rf_error,rf_absolute_error
2018-05-21 14:00:00,5895.0,2103.565376720189,3791.434623279811,3791.434623279811
2017-12-05 06:00:00,2334.0,6039.217673540962,-3705.217673540962,3705.217673540962
2018-05-21 12:00:00,2040.0,4799.291665869534,-2759.291665869534,2759.291665869534
2018-01-17 16:00:00,5676.0,3098.6315324841416,2577.3684675158584,2577.3684675158584
2018-05-21 15:00:00,6968.0,4602.361387608775,2365.6386123912253,2365.6386123912253
2017-12-05 07:00:00,2160.0,4519.075253735155,-2359.0752537351545,2359.0752537351545
2018-01-17 14:00:00,3271.0,5607.81327227613,-2336.81327227613,2336.81327227613
2018-03-05 16:00:00,1953.0,4119.611011084346,-2166.6110110843456,2166.6110110843456
2017-12-11 06:00:00,4050.0,6182.085783068785,-2132.0857830687846,2132.0857830687846
2018-03-25 22:00:00,984.0,3022.2937042648696,-2038.2937042648696,2038.2937042648696
2018-06-23 00:00:00,872.0,2886.7657728740346,-2014.7657728740346,2014.7657728740346
2018-04-03 06:00:00,4096.0,6021.705705026456,-1925.7057050264557,1925.7057050264557
2017-12-05 05:00:00,3657.0,5572.299082709523,-1915.2990827095227,1915.2990827095227
2018-04-15 20:00:00,2809.0,906.0481170715962,1902.9518829284038,1902.9518829284038
2017-07-26 22:00:00,3420.0,1550.4851495851756,1869.5148504148244,1869.5148504148244
2018-07-01 22:00:00,3078.0,1280.6367752843564,1797.3632247156436,1797.3632247156436
2017-09-24 22:00:00,2973.0,1191.8784784086276,1781.1215215913724,1781.1215215913724
2017-08-21 22:00:00,2962.0,1233.8961109673853,1728.1038890326147,1728.1038890326147
2017-09-21 22:00:00,1293.0,3017.283097625864,-1724.2830976258638,1724.2830976258638
2018-01-09 21:00:00,3488.0,1764.5689411976898,1723.4310588023102,1723.4310588023102
