date_time,holiday,temp,temperature_celsius,rain_1h,snow_1h,clouds_all,weather_main,weather_description,hour,day,month,year,day_of_week,day_name,is_weekend,is_rush_hour,time_period,traffic_volume,congestion_level,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,traffic_lag_1,traffic_lag_2,traffic_lag_3,traffic_lag_6,traffic_lag_12,traffic_lag_24,traffic_rolling_mean_3,traffic_rolling_mean_6,traffic_rolling_mean_12,traffic_rolling_mean_24,traffic_rolling_std_6,traffic_rolling_std_24,traffic_change_1h,traffic_change_3h,target_next_hour
2012-10-03 12:00:00,,291.97,18.82000000000005,0.0,0.0,1,Clear,sky is clear,12,3,10,2012,2,Wednesday,0,0,Afternoon,5097,Severe,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,5471.0,6511.0,5673.0,367.0,2361.0,5545.0,5885.0,3592.3333333333335,2292.25,3580.9583333333335,2655.693782548482,2169.83574772411,-1040.0,-202.0,4887.0
2012-10-03 13:00:00,,293.23,20.08000000000004,0.0,0.0,1,Clear,sky is clear,13,3,10,2012,2,Wednesday,0,0,Afternoon,4887,High,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,5097.0,5471.0,6511.0,814.0,1529.0,4516.0,5693.0,4380.666666666667,2520.25,3562.2916666666665,2163.1448094537413,2154.07465211493,-374.0,-1414.0,5337.0
2012-10-03 14:00:00,,294.31,21.160000000000025,0.0,0.0,1,Clear,sky is clear,14,3,10,2012,2,Wednesday,0,0,Afternoon,5337,Severe,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,4887.0,5097.0,5471.0,2718.0,963.0,4767.0,5151.666666666667,5059.5,2800.0833333333335,3577.75,1277.9946400513568,2162.530949765957,-210.0,-584.0,5692.0
2012-10-03 15:00:00,,295.17,22.02000000000004,0.0,0.0,1,Clear,sky is clear,15,3,10,2012,2,Wednesday,0,1,Afternoon,5692,Severe,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,5337.0,4887.0,5097.0,5673.0,506.0,5026.0,5107.0,5496.0,3164.5833333333335,3601.5,568.7779883223311,2179.2253310473106,450.0,240.0,6137.0
2012-10-03 16:00:00,,295.13,21.980000000000018,0.0,0.0,1,Clear,sky is clear,16,3,10,2012,2,Wednesday,0,1,Afternoon,6137,Severe,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,5692.0,5337.0,4887.0,6511.0,321.0,4918.0,5305.333333333333,5499.166666666667,3596.75,3629.25,570.0120758954713,2202.271934596871,355.0,805.0,4623.0
2012-10-03 18:00:00,,293.66,20.510000000000048,0.0,0.0,20,Clouds,few clouds,18,3,10,2012,2,Wednesday,0,0,Evening,4623,High,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,6137.0,5692.0,5337.0,5471.0,273.0,5181.0,5722.0,5436.833333333333,4081.4166666666665,3680.0416666666665,443.68476046249805,2246.8921237077025,445.0,800.0,3591.0
2012-10-03 19:00:00,,290.65,17.5,0.0,0.0,20,Clouds,few clouds,19,3,10,2012,2,Wednesday,0,0,Evening,3591,High,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,4623.0,6137.0,5692.0,5097.0,367.0,5584.0,5484.0,5295.5,4443.916666666667,3656.7916666666665,552.3744201173666,2233.532763781194,-1514.0,-1069.0,2898.0
2012-10-03 20:00:00,,288.19,15.04000000000002,0.0,0.0,20,Clouds,few clouds,20,3,10,2012,2,Wednesday,0,0,Evening,2898,Medium,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,3591.0,4623.0,6137.0,4887.0,814.0,6015.0,4783.666666666667,5044.5,4712.583333333333,3573.75,895.9352097110572,2195.4901651379337,-1032.0,-2546.0,2637.0
2012-10-03 21:00:00,,287.1,13.950000000000045,0.0,0.0,1,Clear,sky is clear,21,3,10,2012,2,Wednesday,0,0,Night,2637,Medium,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,2898.0,3591.0,4623.0,5337.0,2718.0,5791.0,3704.0,4713.0,4886.25,3443.875,1259.9049170473122,2136.1911311755425,-693.0,-1725.0,1777.0
2012-10-03 22:00:00,,286.25,13.100000000000023,0.0,0.0,1,Clear,sky is clear,22,3,10,2012,2,Wednesday,0,0,Night,1777,Medium,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,2637.0,2898.0,3591.0,5692.0,5673.0,4770.0,3042.0,4263.0,4879.5,3312.4583333333335,1458.9175439345406,2081.8444159210003,-261.0,-954.0,1015.0
