date_time,temp,temperature_celsius,rain_1h,snow_1h,clouds_all,holiday,weather_main,weather_description,hour,day,month,year,day_of_week,is_weekend,is_rush_hour,time_period,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,peak_period,traffic_volume,congestion_target
2012-10-02 09:00:00,288.28,15.129999999999995,0.0,0.0,40,,Clouds,scattered clouds,9,2,10,2012,1,0,1,Morning,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,Morning Peak,5545,Severe
2012-10-02 10:00:00,289.36,16.210000000000036,0.0,0.0,75,,Clouds,broken clouds,10,2,10,2012,1,0,0,Morning,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,Midday,4516,High
2012-10-02 11:00:00,289.58,16.430000000000007,0.0,0.0,90,,Clouds,overcast clouds,11,2,10,2012,1,0,0,Morning,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,Midday,4767,High
2012-10-02 12:00:00,290.13,16.980000000000018,0.0,0.0,90,,Clouds,overcast clouds,12,2,10,2012,1,0,0,Afternoon,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,Midday,5026,Severe
2012-10-02 13:00:00,291.14,17.99000000000001,0.0,0.0,75,,Clouds,broken clouds,13,2,10,2012,1,0,0,Afternoon,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,Midday,4918,High
2012-10-02 14:00:00,291.72,18.57000000000005,0.0,0.0,1,,Clear,sky is clear,14,2,10,2012,1,0,0,Afternoon,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,Evening Peak,5181,Severe
2012-10-02 15:00:00,293.17,20.02000000000004,0.0,0.0,1,,Clear,sky is clear,15,2,10,2012,1,0,0,Afternoon,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,Evening Peak,5584,Severe
2012-10-02 16:00:00,293.86,20.71000000000004,0.0,0.0,1,,Clear,sky is clear,16,2,10,2012,1,0,1,Afternoon,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,Evening Peak,6015,Severe
2012-10-02 17:00:00,294.14,20.99000000000001,0.0,0.0,20,,Clouds,few clouds,17,2,10,2012,1,0,1,Evening,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,Evening Peak,5791,Severe
2012-10-02 18:00:00,293.1,19.950000000000045,0.0,0.0,20,,Clouds,few clouds,18,2,10,2012,1,0,1,Evening,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,Night,4770,High
