date_time,holiday,temp,temperature_celsius,rain_1h,snow_1h,clouds_all,weather_main,weather_description,hour,day,month,year,day_of_week,day_name,is_weekend,is_rush_hour,time_period,traffic_volume,congestion_level
2012-10-02 09:00:00,None,288.28,15.129999999999995,0.0,0.0,40,Clouds,scattered clouds,9,2,10,2012,1,Tuesday,0,1,Morning,5545,Severe
2012-10-02 10:00:00,None,289.36,16.210000000000036,0.0,0.0,75,Clouds,broken clouds,10,2,10,2012,1,Tuesday,0,0,Morning,4516,High
2012-10-02 11:00:00,None,289.58,16.430000000000007,0.0,0.0,90,Clouds,overcast clouds,11,2,10,2012,1,Tuesday,0,0,Morning,4767,High
2012-10-02 12:00:00,None,290.13,16.980000000000018,0.0,0.0,90,Clouds,overcast clouds,12,2,10,2012,1,Tuesday,0,0,Afternoon,5026,Severe
2012-10-02 13:00:00,None,291.14,17.99000000000001,0.0,0.0,75,Clouds,broken clouds,13,2,10,2012,1,Tuesday,0,0,Afternoon,4918,High
2012-10-02 14:00:00,None,291.72,18.57000000000005,0.0,0.0,1,Clear,sky is clear,14,2,10,2012,1,Tuesday,0,0,Afternoon,5181,Severe
2012-10-02 15:00:00,None,293.17,20.02000000000004,0.0,0.0,1,Clear,sky is clear,15,2,10,2012,1,Tuesday,0,0,Afternoon,5584,Severe
2012-10-02 16:00:00,None,293.86,20.710000000000036,0.0,0.0,1,Clear,sky is clear,16,2,10,2012,1,Tuesday,0,1,Afternoon,6015,Severe
2012-10-02 17:00:00,None,294.14,20.99000000000001,0.0,0.0,20,Clouds,few clouds,17,2,10,2012,1,Tuesday,0,1,Evening,5791,Severe
2012-10-02 18:00:00,None,293.1,19.950000000000045,0.0,0.0,20,Clouds,few clouds,18,2,10,2012,1,Tuesday,0,1,Evening,4770,High
2012-10-02 19:00:00,None,290.97,17.82000000000005,0.0,0.0,20,Clouds,few clouds,19,2,10,2012,1,Tuesday,0,1,Evening,3539,High
2012-10-02 20:00:00,None,289.38,16.230000000000018,0.0,0.0,1,Clear,sky is clear,20,2,10,2012,1,Tuesday,0,0,Evening,2784,Medium
2012-10-02 21:00:00,None,288.61,15.460000000000036,0.0,0.0,1,Clear,sky is clear,21,2,10,2012,1,Tuesday,0,0,Night,2361,Medium
2012-10-02 22:00:00,None,287.16,14.010000000000048,0.0,0.0,1,Clear,sky is clear,22,2,10,2012,1,Tuesday,0,0,Night,1529,Medium
2012-10-02 23:00:00,None,285.45,12.300000000000011,0.0,0.0,1,Clear,sky is clear,23,2,10,2012,1,Tuesday,0,0,Night,963,Low
2012-10-03 00:00:00,None,284.63,11.480000000000018,0.0,0.0,1,Clear,sky is clear,0,3,10,2012,2,Wednesday,0,0,Night,506,Low
2012-10-03 01:00:00,None,283.47,10.32000000000005,0.0,0.0,1,Clear,sky is clear,1,3,10,2012,2,Wednesday,0,0,Night,321,Low
2012-10-03 02:00:00,None,281.18,8.03000000000003,0.0,0.0,1,Clear,sky is clear,2,3,10,2012,2,Wednesday,0,0,Night,273,Low
2012-10-03 03:00:00,None,281.09,7.939999999999998,0.0,0.0,1,Clear,sky is clear,3,3,10,2012,2,Wednesday,0,0,Night,367,Low
2012-10-03 04:00:00,None,279.53,6.3799999999999955,0.0,0.0,1,Clear,sky is clear,4,3,10,2012,2,Wednesday,0,0,Night,814,Low
2012-10-03 05:00:00,None,278.62,5.470000000000027,0.0,0.0,1,Clear,sky is clear,5,3,10,2012,2,Wednesday,0,0,Morning,2718,Medium
2012-10-03 06:00:00,None,278.23,5.080000000000041,0.0,0.0,1,Clear,sky is clear,6,3,10,2012,2,Wednesday,0,0,Morning,5673,Severe
2012-10-03 08:00:00,None,278.12,4.970000000000027,0.0,0.0,1,Clear,sky is clear,8,3,10,2012,2,Wednesday,0,1,Morning,6511,Severe
2012-10-03 09:00:00,None,282.48,9.330000000000041,0.0,0.0,1,Clear,sky is clear,9,3,10,2012,2,Wednesday,0,1,Morning,5471,Severe
2012-10-03 12:00:00,None,291.97,18.82000000000005,0.0,0.0,1,Clear,sky is clear,12,3,10,2012,2,Wednesday,0,0,Afternoon,5097,Severe
2012-10-03 13:00:00,None,293.23,20.08000000000004,0.0,0.0,1,Clear,sky is clear,13,3,10,2012,2,Wednesday,0,0,Afternoon,4887,High
2012-10-03 14:00:00,None,294.31,21.160000000000025,0.0,0.0,1,Clear,sky is clear,14,3,10,2012,2,Wednesday,0,0,Afternoon,5337,Severe
2012-10-03 15:00:00,None,295.17,22.02000000000004,0.0,0.0,1,Clear,sky is clear,15,3,10,2012,2,Wednesday,0,0,Afternoon,5692,Severe
2012-10-03 16:00:00,None,295.13,21.980000000000018,0.0,0.0,1,Clear,sky is clear,16,3,10,2012,2,Wednesday,0,1,Afternoon,6137,Severe
2012-10-03 18:00:00,None,293.66,20.510000000000048,0.0,0.0,20,Clouds,few clouds,18,3,10,2012,2,Wednesday,0,1,Evening,4623,High
2012-10-03 19:00:00,None,290.65,17.5,0.0,0.0,20,Clouds,few clouds,19,3,10,2012,2,Wednesday,0,1,Evening,3591,High
2012-10-03 20:00:00,None,288.19,15.04000000000002,0.0,0.0,20,Clouds,few clouds,20,3,10,2012,2,Wednesday,0,0,Evening,2898,Medium
2012-10-03 21:00:00,None,287.1,13.950000000000045,0.0,0.0,1,Clear,sky is clear,21,3,10,2012,2,Wednesday,0,0,Night,2637,Medium
2012-10-03 22:00:00,None,286.25,13.100000000000023,0.0,0.0,1,Clear,sky is clear,22,3,10,2012,2,Wednesday,0,0,Night,1777,Medium
2012-10-03 23:00:00,None,285.26,12.110000000000014,0.0,0.0,1,Clear,sky is clear,23,3,10,2012,2,Wednesday,0,0,Night,1015,Low
2012-10-04 00:00:00,None,284.55,11.400000000000034,0.0,0.0,1,Clear,sky is clear,0,4,10,2012,3,Thursday,0,0,Night,598,Low
2012-10-04 01:00:00,None,283.47,10.32000000000005,0.0,0.0,1,Clear,sky is clear,1,4,10,2012,3,Thursday,0,0,Night,369,Low
2012-10-04 02:00:00,None,283.17,10.020000000000039,0.0,0.0,1,Clear,sky is clear,2,4,10,2012,3,Thursday,0,0,Night,312,Low
2012-10-04 03:00:00,None,282.04,8.890000000000043,0.0,0.0,1,Clear,sky is clear,3,4,10,2012,3,Thursday,0,0,Night,367,Low
2012-10-04 04:00:00,None,281.69,8.54000000000002,0.0,0.0,1,Clear,sky is clear,4,4,10,2012,3,Thursday,0,0,Night,835,Low
2012-10-04 05:00:00,None,281.32,8.170000000000016,0.0,0.0,1,Clear,sky is clear,5,4,10,2012,3,Thursday,0,0,Morning,2726,Medium
2012-10-04 06:00:00,None,280.74,7.590000000000032,0.0,0.0,1,Clear,sky is clear,6,4,10,2012,3,Thursday,0,0,Morning,5689,Severe
2012-10-04 07:00:00,None,280.57,7.420000000000016,0.0,0.0,1,Clear,sky is clear,7,4,10,2012,3,Thursday,0,1,Morning,6990,Severe
2012-10-04 08:00:00,None,281.86,8.710000000000036,0.0,0.0,1,Clear,sky is clear,8,4,10,2012,3,Thursday,0,1,Morning,5985,Severe
2012-10-04 09:00:00,None,284.98,11.830000000000041,0.0,0.0,1,Clear,sky is clear,9,4,10,2012,3,Thursday,0,1,Morning,5309,Severe
2012-10-04 10:00:00,None,289.18,16.03000000000003,0.0,0.0,1,Clear,sky is clear,10,4,10,2012,3,Thursday,0,0,Morning,4603,High
2012-10-04 11:00:00,None,291.55,18.400000000000034,0.0,0.0,1,Clear,sky is clear,11,4,10,2012,3,Thursday,0,0,Morning,4884,High
2012-10-04 12:00:00,None,294.97,21.82000000000005,0.0,0.0,1,Clear,sky is clear,12,4,10,2012,3,Thursday,0,0,Afternoon,5104,Severe
2012-10-04 13:00:00,None,296.38,23.230000000000018,0.0,0.0,1,Clear,sky is clear,13,4,10,2012,3,Thursday,0,0,Afternoon,5178,Severe
2012-10-04 14:00:00,None,297.32,24.170000000000016,0.0,0.0,1,Clear,sky is clear,14,4,10,2012,3,Thursday,0,0,Afternoon,5501,Severe
2012-10-04 15:00:00,None,298.17,25.02000000000004,0.0,0.0,1,Clear,sky is clear,15,4,10,2012,3,Thursday,0,0,Afternoon,5713,Severe
2012-10-04 16:00:00,None,298.06,24.910000000000025,0.0,0.0,20,Clouds,few clouds,16,4,10,2012,3,Thursday,0,1,Afternoon,6292,Severe
2012-10-04 17:00:00,None,297.67,24.52000000000004,0.0,0.0,20,Clouds,few clouds,17,4,10,2012,3,Thursday,0,1,Evening,6057,Severe
2012-10-04 18:00:00,None,296.36,23.210000000000036,0.0,0.0,40,Clouds,scattered clouds,18,4,10,2012,3,Thursday,0,1,Evening,4907,High
2012-10-04 19:00:00,None,293.85,20.700000000000045,0.0,0.0,40,Clouds,scattered clouds,19,4,10,2012,3,Thursday,0,1,Evening,3503,High
2012-10-04 20:00:00,None,292.43,19.28000000000003,0.0,0.0,40,Clouds,scattered clouds,20,4,10,2012,3,Thursday,0,0,Evening,3037,Medium
2012-10-04 21:00:00,None,291.77,18.620000000000005,0.0,0.0,75,Clouds,broken clouds,21,4,10,2012,3,Thursday,0,0,Night,2822,Medium
2012-10-04 22:00:00,None,291.36,18.210000000000036,0.0,0.0,75,Clouds,broken clouds,22,4,10,2012,3,Thursday,0,0,Night,1992,Medium
2012-10-04 23:00:00,None,291.12,17.970000000000027,0.0,0.0,75,Clouds,broken clouds,23,4,10,2012,3,Thursday,0,0,Night,1166,Low
2012-10-05 00:00:00,None,290.63,17.480000000000018,0.0,0.0,75,Clouds,broken clouds,0,5,10,2012,4,Friday,0,0,Night,627,Low
2012-10-05 01:00:00,None,290.46,17.310000000000002,0.0,0.0,40,Clouds,scattered clouds,1,5,10,2012,4,Friday,0,0,Night,388,Low
2012-10-05 03:00:00,None,289.26,16.110000000000014,0.0,0.0,0,Clear,sky is clear,3,5,10,2012,4,Friday,0,0,Night,368,Low
2012-10-05 05:00:00,None,283.21,10.060000000000002,0.0,0.0,75,Clouds,broken clouds,5,5,10,2012,4,Friday,0,0,Morning,2489,Medium
